d_pawn_rank,e_pawn_rank,black_king,side_to_move,white_win_wk_squares,legal_wk_squares,draw_wk_squares
6,6,c5,black,14,54,40
6,6,d5,black,8,55,47
6,6,e5,black,8,55,47
6,6,f5,black,14,54,40
6,6,c6,black,12,54,42
6,6,f6,black,12,54,42
6,6,c7,black,13,54,41
6,6,d7,black,6,55,49
6,6,e7,black,6,55,49
6,6,f7,black,13,54,41
6,7,e8,black,56,57,1
7,2,c6,black,36,54,18
7,2,d6,black,35,54,19
7,2,e6,black,35,54,19
7,2,c7,black,37,54,17
7,2,e7,black,35,54,19
7,2,c8,black,40,57,17
7,2,d8,white,55,57,2
7,2,d8,black,37,57,20
7,2,e8,black,38,57,19
7,3,c6,black,21,54,33
7,3,d6,black,18,54,36
7,3,e6,black,18,54,36
7,3,c7,black,21,54,33
7,3,e7,black,18,54,36
7,3,c8,black,23,57,34
7,3,d8,white,38,57,19
7,3,d8,black,20,57,37
7,3,e8,black,21,57,36
7,4,c6,black,18,54,36
7,4,d6,black,15,54,39
7,4,e6,black,15,54,39
7,4,c7,black,17,54,37
7,4,e7,black,14,54,40
7,4,c8,black,19,57,38
7,4,d8,white,34,57,23
7,4,d8,black,16,57,41
7,4,e8,black,17,57,40
7,5,c6,black,13,54,41
7,5,d6,black,11,55,44
7,5,e6,black,10,55,45
7,5,c7,black,11,54,43
7,5,e7,black,8,54,46
7,5,c8,black,13,57,44
7,5,d8,black,10,57,47
7,5,e8,black,11,57,46
7,6,d8,black,56,57,1
7,7,d8,black,57,58,1
7,7,e8,black,57,58,1
